"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17312","Browser Context playwright test","","Wed Apr 22 01:10:08 IST 2026","passed","Wed Apr 22 01:10:26 IST 2026","","AbortNetworkCalls.spec.js","",""
"","10531","Client App login iphone 13 pro","","Wed Apr 22 01:12:13 IST 2026","passed","Wed Apr 22 01:12:24 IST 2026","","ClientAppPO.spec.js","",""
"","8942","@QW Security test request intercept","","Wed Apr 22 01:10:41 IST 2026","passed","Wed Apr 22 01:10:50 IST 2026","","SecurityTestAPI.spec.js","",""
"","11504","Client App login ADIDAS ORIGINAL","","Wed Apr 22 01:12:01 IST 2026","passed","Wed Apr 22 01:12:12 IST 2026","","ClientAppPO.spec.js","",""
"","10509","Client App login ZARA COAT 3","","Wed Apr 22 01:12:24 IST 2026","passed","Wed Apr 22 01:12:35 IST 2026","","ClientAppPO.spec.js","",""
"","14312","Browser Context playwright test","","Wed Apr 22 01:10:42 IST 2026","passed","Wed Apr 22 01:10:57 IST 2026","","UIBasics.spec.js","",""
"","6576","Verify order is displayed in order history","","Wed Apr 22 01:10:41 IST 2026","passed","Wed Apr 22 01:10:47 IST 2026","","NetworkTest.spec.js","",""
"","5770","Child window handle","","Wed Apr 22 01:10:53 IST 2026","passed","Wed Apr 22 01:10:59 IST 2026","","UIBasics.spec.js","",""
"","6475","Playwright Special Locators","","Wed Apr 22 01:10:35 IST 2026","passed","Wed Apr 22 01:10:41 IST 2026","","IIc.spec.js","",""
"","9272","UI Controlls","","Wed Apr 22 01:10:50 IST 2026","passed","Wed Apr 22 01:10:59 IST 2026","","UIBasics.spec.js","",""
"","9834","Fill booking form","","Wed Apr 22 01:10:51 IST 2026","passed","Wed Apr 22 01:11:01 IST 2026","","Assignment1_EventHub.spec.js","",""
"","10143","Client App login","","Wed Apr 22 01:12:36 IST 2026","passed","Wed Apr 22 01:12:46 IST 2026","","ClientAppPO.spec.js","",""
"","19188","Create a new event","","Wed Apr 22 01:10:08 IST 2026","passed","Wed Apr 22 01:10:28 IST 2026","","Assignment1_EventHub.spec.js","",""
"","8722","Start booking the matched event","","Wed Apr 22 01:10:41 IST 2026","passed","Wed Apr 22 01:10:50 IST 2026","","Assignment1_EventHub.spec.js","",""
"","4644","Verify booking appears in My Bookings","","Wed Apr 22 01:11:02 IST 2026","passed","Wed Apr 22 01:11:07 IST 2026","","Assignment1_EventHub.spec.js","",""
"","22746","Client App login","","Wed Apr 22 01:10:09 IST 2026","passed","Wed Apr 22 01:10:31 IST 2026","","ClientApp.spec.js","",""
"","1357","@API Test Case 2","","Wed Apr 22 01:11:17 IST 2026","passed","Wed Apr 22 01:11:19 IST 2026","","WebAPIPart2.spec.js","",""
"","4911","Verify seat reduction after booking","","Wed Apr 22 01:11:07 IST 2026","passed","Wed Apr 22 01:11:12 IST 2026","","Assignment1_EventHub.spec.js","",""
"","4474","@API Place the order","","Wed Apr 22 01:10:57 IST 2026","passed","Wed Apr 22 01:11:01 IST 2026","","WebAPIPart1.spec.js","",""
"","6328","Find the event card and capture seats","","Wed Apr 22 01:10:34 IST 2026","passed","Wed Apr 22 01:10:41 IST 2026","","Assignment1_EventHub.spec.js","",""
"","22778","Client App login","","Wed Apr 22 01:10:09 IST 2026","passed","Wed Apr 22 01:10:31 IST 2026","","ClientApp-OtherWay.spec.js","",""
"","14828","Popup Validation","","Wed Apr 22 01:10:36 IST 2026","passed","Wed Apr 22 01:10:51 IST 2026","","MoreValidations.spec.js","",""
"","7919","Client App login","","Wed Apr 22 01:11:01 IST 2026","passed","Wed Apr 22 01:11:09 IST 2026","","WebAPIPart2.spec.js","",""
"","18741","Calender","","Wed Apr 22 01:10:08 IST 2026","passed","Wed Apr 22 01:10:27 IST 2026","","Calender.spec.js","",""
